1,Galaxy S20 5G,5.97 x 2.72 x 0.311 inches,Cloud Pink,4000mAh(Typical) *Typical value tested under third-party laboratory condition. Typical value is the estimated average value considering the deviation in battery capacity among the battery samples tested under IEC 61960 standard. Rated (minimum) capacity is 3880mAh for Galaxy S20 5G 4370mAh for Galaxy S20+ 5G and 4855mAh for Galaxy S20 Ultra 5G. Actual battery life may vary depending on network environment usage patterns and other factors.,128GB,5G,"Android 10
"
1341,iPhone 11 Pro,5.67 x 2.81 X 0.32 inches,Midnight Green,3046mAhBuilt-in rechargeable lithium-ion batteryWireless charging (works with Qi chargers10)Charging via USB to computer system or power adapterFast-charge capable:Up to 50% charge in around 30 minutes with 18W adapter or higher,256GB,LTE,"IOS 13
"
4228,Google Pixel 4a,5.7  x 2.7 x 0.3 inches,Just Black,3140mAh,128GB,5G,"Android 10
"
